<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
123 60 09/04/23 01:00 88.9900000 88.9900000 88.9900000 88.9900000 60
123 60 09/04/23 02:00 88.9900000 88.9900000 88.6600000 88.8500000 1598
123 60 09/04/23 03:00 88.8500000 88.8700000 88.7600000 88.7700000 720
123 60 09/04/23 04:00 88.7600000 88.8300000 88.6500000 88.7600000 1330
123 60 09/04/23 05:00 88.7700000 88.7800000 88.4900000 88.5500000 4046
123 60 09/04/23 06:00 88.5500000 88.6500000 88.5200000 88.6100000 1132
123 60 09/04/23 07:00 88.6000000 88.6000000 88.5100000 88.5800000 1429
123 60 09/04/23 08:00 88.5900000 88.6000000 88.5400000 88.5700000 858
123 60 09/04/23 09:00 88.5700000 88.6500000 88.4300000 88.4700000 1959
123 60 09/04/23 10:00 88.4800000 88.5700000 88.3800000 88.4900000 4787
123 60 09/04/23 11:00 88.4900000 88.7300000 88.4600000 88.7200000 9747
123 60 09/04/23 12:00 88.7200000 88.7300000 88.2600000 88.4500000 25877
123 60 09/04/23 13:00 88.4400000 88.6700000 88.4000000 88.5800000 12586
123 60 09/04/23 14:00 88.5800000 88.7800000 88.5800000 88.6300000 7342
123 60 09/04/23 15:00 88.6400000 88.6900000 88.5300000 88.5500000 5814
123 60 09/04/23 16:00 88.5600000 88.6300000 88.4700000 88.4900000 5549
123 60 09/04/23 17:00 88.4900000 88.9100000 88.4600000 88.8800000 13756
123 60 09/04/23 18:00 88.8800000 88.9700000 88.6600000 88.9300000 12808
123 60 09/04/23 19:00 88.9300000 89.0200000 88.8200000 88.9100000 16762
123 60 09/04/23 20:00 88.9200000 89.2200000 88.7800000 88.9800000 12631
123 60 09/04/23 21:00 88.9800000 89.0700000 88.9400000 89.0000000 2744
123 60 09/05/23 03:00 89.0000000 89.0000000 89.0000000 89.0000000 15
123 60 09/05/23 04:00 89.0000000 89.0000000 88.8400000 88.9000000 1399
123 60 09/05/23 05:00 88.9100000 89.1100000 88.7000000 88.7700000 1952
123 60 09/05/23 06:00 88.7500000 88.8300000 88.6400000 88.8300000 1698
123 60 09/05/23 07:00 88.8400000 88.9800000 88.8000000 88.9500000 512
123 60 09/05/23 08:00 88.9400000 88.9800000 88.9100000 88.9200000 744
123 60 09/05/23 09:00 88.9200000 88.9600000 88.7900000 88.7900000 1786
123 60 09/05/23 10:00 88.8000000 88.8400000 88.6300000 88.7100000 4434
123 60 09/05/23 11:00 88.7200000 88.7600000 88.2500000 88.2700000 18257
123 60 09/05/23 12:00 88.2800000 88.4200000 88.0600000 88.4100000 27653
123 60 09/05/23 13:00 88.4200000 88.6200000 88.3700000 88.5500000 13838
123 60 09/05/23 14:00 88.5500000 88.5600000 88.1200000 88.3100000 13139
123 60 09/05/23 15:00 88.3000000 88.5800000 88.2600000 88.4000000 7903
123 60 09/05/23 16:00 88.4000000 88.5900000 88.2800000 88.5100000 13653
