<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
BZ 60 11/04/22 00:00 94.3600000 94.6100000 94.3600000 94.5500000 241
BZ 60 11/04/22 03:00 94.5800000 94.6100000 92.7300000 94.5100000 597
BZ 60 11/04/22 04:00 94.5000000 95.1100000 94.5000000 95.0900000 1459
BZ 60 11/04/22 05:00 95.0700000 95.4100000 95.0600000 95.2500000 1284
BZ 60 11/04/22 06:00 95.2400000 95.4700000 95.2300000 95.3300000 1539
BZ 60 11/04/22 07:00 95.3300000 95.8800000 95.2500000 95.8600000 1544
BZ 60 11/04/22 08:00 95.8800000 96.8400000 95.8600000 96.7100000 4546
BZ 60 11/04/22 09:00 96.7100000 97.0000000 96.3600000 96.8300000 6659
BZ 60 11/04/22 10:00 96.8300000 97.0000000 96.1700000 96.5900000 6271
BZ 60 11/04/22 11:00 96.6000000 96.8100000 96.2000000 96.5800000 15997
BZ 60 11/04/22 12:00 96.5800000 97.1400000 96.4700000 96.8000000 12036
BZ 60 11/04/22 13:00 96.8000000 97.4900000 96.7700000 97.4800000 9820
BZ 60 11/04/22 14:00 97.4800000 98.0000000 97.1400000 97.9200000 14225
BZ 60 11/04/22 15:00 97.9200000 98.2500000 97.2500000 98.2300000 14305
BZ 60 11/04/22 16:00 98.2200000 98.7000000 97.8500000 98.2500000 21880
BZ 60 11/04/22 17:00 98.2600000 98.7200000 97.8700000 97.9400000 13927
BZ 60 11/04/22 18:00 97.9500000 98.1100000 97.5100000 97.6200000 13543
BZ 60 11/04/22 19:00 97.6200000 98.4600000 96.8800000 98.3300000 26413
BZ 60 11/04/22 20:00 98.3200000 98.6000000 98.0300000 98.1500000 9467
BZ 60 11/04/22 21:00 98.1500000 98.8000000 97.8600000 98.8000000 13051
BZ 60 11/04/22 22:00 98.7900000 98.8100000 98.5500000 98.6500000 2506
BZ 60 11/04/22 23:00 98.6600000 98.7000000 98.4800000 98.6600000 1008
BZ 60 11/05/22 00:00 98.6800000 98.7500000 96.9000000 98.7500000 93
BZ 60 11/07/22 02:00 97.3100000 97.3200000 96.5000000 96.8600000 2703
BZ 60 11/07/22 03:00 96.8700000 97.6000000 95.8000000 97.5000000 992
BZ 60 11/07/22 04:00 97.5000000 97.8100000 97.1300000 97.7100000 2137
BZ 60 11/07/22 05:00 97.7000000 97.7400000 97.2900000 97.5000000 1230
BZ 60 11/07/22 06:00 97.5100000 97.6600000 95.9900000 97.5400000 752
BZ 60 11/07/22 07:00 97.5500000 97.7400000 95.9600000 97.5300000 311
BZ 60 11/07/22 08:00 97.5300000 97.9300000 95.9300000 97.6600000 711
BZ 60 11/07/22 09:00 97.6500000 97.8100000 97.5000000 97.5100000 1362
BZ 60 11/07/22 10:00 97.5200000 97.6800000 97.1900000 97.6600000 3166
BZ 60 11/07/22 11:00 97.6700000 98.3700000 97.1300000 98.1800000 15731
BZ 60 11/07/22 12:00 98.1800000 98.4700000 97.8400000 98.2100000 6249
BZ 60 11/07/22 13:00 98.2200000 98.7300000 98.2100000 98.6500000 6121
BZ 60 11/07/22 14:00 98.6300000 98.7200000 98.1300000 98.1600000 4974
BZ 60 11/07/22 15:00 98.1700000 98.3200000 97.6400000 97.7900000 5603
BZ 60 11/07/22 16:00 97.7900000 98.3000000 97.7300000 98.0600000 7799
BZ 60 11/07/22 17:00 98.0600000 98.7000000 97.9700000 98.2100000 11867
BZ 60 11/07/22 18:00 98.2100000 99.0900000 98.1200000 98.9300000 17720
BZ 60 11/07/22 19:00 98.9300000 99.5600000 98.8700000 98.9100000 24269
BZ 60 11/07/22 20:00 98.9100000 99.0400000 98.3000000 98.5100000 9471
BZ 60 11/07/22 21:00 98.5100000 98.5700000 97.7000000 97.7100000 8326
BZ 60 11/07/22 22:00 97.7200000 98.1400000 97.7000000 97.9800000 8659
BZ 60 11/07/22 23:00 97.9800000 98.2000000 97.9600000 98.1000000 1598
BZ 60 11/08/22 00:00 98.1000000 98.1000000 96.4300000 98.0200000 889
BZ 60 11/08/22 01:00 97.9900000 97.9900000 97.8600000 97.9300000 32
BZ 60 11/08/22 04:00 98.2400000 98.3000000 96.5600000 97.9800000 1178
BZ 60 11/08/22 05:00 97.9900000 97.9900000 97.6800000 97.8400000 901
BZ 60 11/08/22 06:00 97.8300000 97.9900000 96.1800000 97.6900000 942
BZ 60 11/08/22 07:00 97.6900000 97.7200000 96.1500000 97.6600000 594
BZ 60 11/08/22 08:00 97.6600000 97.7500000 95.9200000 97.4100000 1048
BZ 60 11/08/22 09:00 97.4300000 97.9000000 97.4300000 97.8000000 1336
BZ 60 11/08/22 10:00 97.7900000 97.8900000 97.6500000 97.6900000 2776
BZ 60 11/08/22 11:00 97.6900000 98.0500000 97.3500000 97.6100000 16664
BZ 60 11/08/22 12:00 97.6200000 97.6900000 97.0400000 97.1700000 7882
BZ 60 11/08/22 13:00 97.1600000 97.2500000 96.8000000 96.9500000 7109
BZ 60 11/08/22 14:00 96.9500000 97.7300000 96.7600000 97.4900000 5223
BZ 60 11/08/22 15:00 97.4900000 97.7400000 97.1600000 97.4700000 4477
BZ 60 11/08/22 16:00 97.4700000 97.9200000 97.2000000 97.3500000 8791
BZ 60 11/08/22 17:00 97.3300000 98.0600000 97.1700000 97.5800000 11140
BZ 60 11/08/22 18:00 97.5800000 98.0000000 97.3600000 97.9700000 11175
BZ 60 11/08/22 19:00 97.9600000 98.1000000 96.9700000 97.2600000 22733
BZ 60 11/08/22 20:00 97.2500000 97.2500000 95.5700000 96.9500000 8324
BZ 60 11/08/22 21:00 96.9600000 96.9600000 95.5200000 95.7200000 15139
BZ 60 11/08/22 22:00 95.7100000 95.9500000 95.1000000 95.5200000 15391
BZ 60 11/08/22 23:00 95.5100000 95.7500000 95.5000000 95.5500000 1884
BZ 60 11/09/22 00:00 95.5500000 95.6900000 95.0100000 95.1400000 1999
BZ 60 11/09/22 01:00 95.1200000 95.3800000 95.0000000 95.0500000 532
BZ 60 11/09/22 04:00 95.1700000 95.6500000 95.1500000 95.4100000 2663
BZ 60 11/09/22 05:00 95.3900000 95.4300000 93.9100000 95.3300000 1053
BZ 60 11/09/22 06:00 95.3200000 95.3700000 95.0300000 95.0600000 1317
BZ 60 11/09/22 07:00 95.0700000 95.0900000 93.5600000 94.9200000 1114
BZ 60 11/09/22 08:00 94.9200000 95.1900000 94.8000000 95.1100000 1014
BZ 60 11/09/22 09:00 95.1200000 95.4500000 95.0000000 95.3900000 2295
BZ 60 11/09/22 10:00 95.3900000 95.5400000 95.1600000 95.1800000 3475
BZ 60 11/09/22 11:00 95.1800000 95.3300000 94.7100000 95.1400000 13493
BZ 60 11/09/22 12:00 95.1500000 95.3200000 94.7300000 94.7500000 7147
BZ 60 11/09/22 13:00 94.7600000 95.0000000 94.5800000 94.7000000 6704
BZ 60 11/09/22 14:00 94.6800000 94.9800000 94.5200000 94.6800000 5106
BZ 60 11/09/22 15:00 94.6800000 94.7100000 93.6100000 94.1400000 15549
BZ 60 11/09/22 16:00 94.1400000 94.8700000 94.1300000 94.6700000 10187
BZ 60 11/09/22 17:00 94.6700000 94.7400000 93.5300000 93.6800000 18991
BZ 60 11/09/22 18:00 93.6800000 94.0400000 93.1200000 93.2000000 21425
BZ 60 11/09/22 19:00 93.2100000 94.1600000 93.1100000 93.3600000 23049
BZ 60 11/09/22 20:00 93.3500000 93.6600000 93.0500000 93.5500000 10394
BZ 60 11/09/22 21:00 93.5600000 93.5900000 92.8500000 92.9400000 10875
BZ 60 11/09/22 22:00 92.9500000 93.1200000 92.4200000 92.6100000 23343
BZ 60 11/09/22 23:00 92.6000000 92.7300000 92.3300000 92.4500000 2273
BZ 60 11/10/22 00:00 92.4600000 92.4900000 92.3300000 92.4100000 1307
BZ 60 11/10/22 01:00 92.4300000 92.5100000 92.3300000 92.4700000 226
BZ 60 11/10/22 04:00 92.5300000 92.6500000 92.2100000 92.4700000 1917
BZ 60 11/10/22 05:00 92.4600000 92.6100000 92.3200000 92.4800000 1228
BZ 60 11/10/22 06:00 92.4900000 92.7300000 91.1200000 92.7100000 951
BZ 60 11/10/22 07:00 92.7100000 92.7300000 91.1800000 92.6300000 269
BZ 60 11/10/22 08:00 92.6200000 92.7100000 92.4700000 92.4700000 616
BZ 60 11/10/22 09:00 92.4800000 92.6400000 91.0700000 92.6000000 1459
BZ 60 11/10/22 10:00 92.6000000 92.6500000 92.1800000 92.2400000 3687
BZ 60 11/10/22 11:00 92.2400000 92.6200000 92.1300000 92.3300000 14325
BZ 60 11/10/22 12:00 92.3400000 92.9400000 92.1400000 92.6500000 7622
BZ 60 11/10/22 13:00 92.6500000 92.6600000 91.7300000 92.0900000 11966
BZ 60 11/10/22 14:00 92.0900000 92.3900000 91.8200000 92.2300000 8063
BZ 60 11/10/22 15:00 92.2400000 92.4500000 92.0900000 92.2900000 4510
BZ 60 11/10/22 16:00 92.2800000 94.3000000 92.2400000 93.7400000 21113
BZ 60 11/10/22 17:00 93.7300000 93.8300000 92.1300000 92.5500000 24447
BZ 60 11/10/22 18:00 92.5500000 93.7500000 92.3800000 93.7100000 15253
BZ 60 11/10/22 19:00 93.7100000 94.2300000 93.4000000 94.2000000 19192
BZ 60 11/10/22 20:00 94.2000000 94.3200000 93.4700000 93.5800000 8649
BZ 60 11/10/22 21:00 93.5900000 94.2000000 93.5900000 94.1700000 6218
BZ 60 11/10/22 22:00 94.1500000 94.2800000 93.4300000 93.4800000 10003
BZ 60 11/10/22 23:00 93.4700000 93.5800000 91.9100000 93.5000000 1302
BZ 60 11/11/22 00:00 93.4700000 93.4900000 91.8400000 93.3400000 939
BZ 60 11/11/22 01:00 93.2800000 93.3600000 91.7900000 93.3400000 29
BZ 60 11/11/22 04:00 93.8400000 94.0900000 93.7100000 93.7100000 1915
BZ 60 11/11/22 05:00 93.7300000 94.0700000 92.2100000 93.9700000 549
BZ 60 11/11/22 06:00 93.9800000 94.0200000 92.3800000 93.9100000 401
BZ 60 11/11/22 07:00 93.9000000 94.0000000 92.3200000 93.9000000 247
BZ 60 11/11/22 08:00 93.9200000 95.6200000 92.3000000 95.4800000 6318
BZ 60 11/11/22 09:00 95.4700000 96.1000000 95.4000000 95.6600000 6261
BZ 60 11/11/22 10:00 95.6700000 96.1500000 95.5500000 95.9100000 5497
BZ 60 11/11/22 11:00 95.9100000 96.4000000 95.7800000 96.2000000 16132
BZ 60 11/11/22 12:00 96.2100000 96.2300000 95.5100000 96.0600000 8817
BZ 60 11/11/22 13:00 96.0700000 96.6500000 96.0600000 96.5900000 8399
BZ 60 11/11/22 14:00 96.5900000 96.6500000 96.4000000 96.5400000 5030
BZ 60 11/11/22 15:00 96.5500000 96.5700000 96.2100000 96.2500000 4020
BZ 60 11/11/22 16:00 96.2400000 96.5200000 95.9000000 96.1000000 8494
BZ 60 11/11/22 17:00 96.1000000 96.6100000 95.8100000 96.1900000 13591
BZ 60 11/11/22 18:00 96.1700000 96.9200000 96.1500000 96.1900000 16410
BZ 60 11/11/22 19:00 96.1800000 96.3500000 95.3600000 95.4700000 17588
BZ 60 11/11/22 20:00 95.4700000 95.7100000 95.1100000 95.3200000 7080
BZ 60 11/11/22 21:00 95.3200000 95.5600000 95.1000000 95.3400000 5681
BZ 60 11/11/22 22:00 95.3400000 96.1900000 95.0700000 96.0300000 12558
BZ 60 11/11/22 23:00 96.0300000 96.2000000 95.9000000 95.9300000 1636
BZ 60 11/12/22 00:00 95.9400000 96.0400000 94.3800000 95.9200000 1109
BZ 60 11/12/22 01:00 95.8800000 96.0000000 95.7600000 95.7600000 27
BZ 60 11/14/22 02:00 95.8700000 96.8500000 95.8000000 96.8100000 1011
BZ 60 11/14/22 03:00 96.8000000 96.8700000 95.1000000 96.7700000 1395
BZ 60 11/14/22 04:00 96.7600000 96.9500000 96.1600000 96.2500000 2718
BZ 60 11/14/22 05:00 96.2700000 96.5700000 94.8700000 96.4700000 1357
BZ 60 11/14/22 06:00 96.5000000 96.5700000 96.2500000 96.3000000 675
BZ 60 11/14/22 07:00 96.2900000 96.3000000 94.7200000 96.2300000 193
BZ 60 11/14/22 08:00 96.2200000 96.2400000 94.6400000 95.2900000 1691
BZ 60 11/14/22 09:00 95.3100000 95.6700000 95.2100000 95.6400000 2299
BZ 60 11/14/22 10:00 95.6500000 96.1900000 95.5300000 96.1700000 2871
BZ 60 11/14/22 11:00 96.1900000 96.7000000 95.8500000 96.3100000 17184
BZ 60 11/14/22 12:00 96.3100000 96.3900000 95.3500000 95.3600000 5582
BZ 60 11/14/22 13:00 95.3600000 95.4600000 94.9000000 95.4300000 6673
BZ 60 11/14/22 14:00 95.4500000 95.5300000 94.6400000 94.8700000 4011
BZ 60 11/14/22 15:00 94.8600000 95.1600000 94.8400000 95.1100000 3007
BZ 60 11/14/22 16:00 95.1200000 95.3500000 94.7800000 94.9300000 6632
BZ 60 11/14/22 17:00 94.9200000 95.3500000 94.7800000 95.1700000 9010
BZ 60 11/14/22 18:00 95.1800000 96.1600000 95.1600000 95.6300000 15397
BZ 60 11/14/22 19:00 95.6300000 95.7000000 93.9500000 94.1700000 22952
BZ 60 11/14/22 20:00 94.1800000 94.1800000 93.0600000 93.2700000 17039
BZ 60 11/14/22 21:00 93.2600000 93.6000000 93.0500000 93.4200000 6096
BZ 60 11/14/22 22:00 93.4200000 93.5900000 92.6000000 92.6800000 16088
BZ 60 11/14/22 23:00 92.6600000 92.7500000 92.5200000 92.5400000 2701
BZ 60 11/15/22 00:00 92.5300000 92.6200000 91.2800000 92.5400000 1376
BZ 60 11/15/22 01:00 92.5200000 92.5400000 92.5000000 92.5000000 567
BZ 60 11/15/22 04:00 92.5900000 93.0600000 92.5600000 92.9000000 4367
BZ 60 11/15/22 05:00 92.8900000 93.2500000 91.6100000 93.2400000 1326
BZ 60 11/15/22 06:00 93.2600000 93.3300000 92.9700000 93.0000000 1698
BZ 60 11/15/22 07:00 93.0100000 93.0400000 91.6400000 92.8500000 1086
