<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20181104,000000,72.8500000,72.8500000,72.5500000,72.6900000,297
20181105,000000,72.6700000,74.1300000,72.2600000,72.7100000,146334
20181106,000000,72.8500000,73.2800000,71.1800000,71.6500000,178953
20181107,000000,71.6600000,73.5500000,71.3600000,72.0000000,221641
20181108,000000,72.1000000,73.0800000,70.5600000,70.9600000,181316
20181109,000000,70.8700000,70.9900000,69.1300000,69.8800000,186037
20181111,000000,70.6900000,71.0700000,70.5300000,71.0100000,3588
20181112,000000,71.0100000,71.8800000,68.8700000,68.9700000,190896
20181113,000000,69.1300000,69.6800000,64.6100000,65.3500000,293371
20181114,000000,65.6200000,67.6300000,65.0200000,65.8600000,248210
20181115,000000,66.1200000,67.4000000,65.7700000,66.6300000,176144
20181116,000000,66.6800000,68.3800000,66.0600000,67.1000000,194572
20181118,000000,66.9900000,67.3800000,66.9500000,67.3200000,525
20181119,000000,67.3100000,67.6400000,65.2700000,67.0100000,151195
20181120,000000,66.9000000,66.9000000,61.7100000,62.4400000,221191
20181121,000000,62.6000000,64.4800000,62.5600000,63.4600000,184053
20181122,000000,63.6000000,63.8100000,62.2700000,62.5200000,80887
20181123,000000,62.5800000,62.7900000,58.4100000,59.1900000,183571
20181125,000000,59.1900000,59.6300000,58.8300000,59.3900000,534
20181126,000000,59.3900000,61.2200000,59.1500000,60.5500000,87976
20181127,000000,60.4900000,61.5100000,59.1100000,61.0400000,126948
20181128,000000,60.8400000,61.4200000,58.8600000,58.9600000,185775
20181129,000000,59.4500000,60.7200000,57.7800000,59.7000000,212258
20181130,000000,59.7600000,60.4200000,58.0600000,59.0700000,234513
20181202,000000,59.9800000,60.8500000,59.8500000,60.7900000,2894
20181203,000000,60.8400000,62.6000000,60.5800000,61.9000000,188266
20181204,000000,61.9000000,63.5800000,61.2400000,61.3100000,178379
20181205,000000,61.3500000,63.2900000,60.8000000,61.6100000,167238
20181206,000000,61.3600000,61.9700000,58.3600000,60.3100000,262850
20181207,000000,60.2500000,63.7300000,59.1000000,61.4000000,274778
20181209,000000,61.3400000,61.9500000,61.3200000,61.8000000,850
20181210,000000,61.7800000,62.3300000,59.6100000,59.8100000,149498
20181211,000000,59.9100000,61.1000000,59.5800000,60.4600000,133967
20181212,000000,60.6700000,61.4300000,59.9800000,60.1800000,131683
20181213,000000,60.2900000,62.0200000,59.3300000,61.7100000,149694
20181214,000000,61.5300000,61.5800000,59.9200000,60.2500000,126552
20181216,000000,60.2500000,60.4200000,60.2100000,60.3000000,329
20181217,000000,60.3100000,61.2100000,58.6400000,58.6600000,134652
20181218,000000,59.0000000,59.2400000,55.8900000,56.0800000,219767
20181219,000000,56.5100000,58.0800000,56.0400000,56.5500000,150158
20181220,000000,56.4900000,56.7500000,54.2800000,54.7000000,151854
20181221,000000,54.9700000,55.3300000,52.7900000,53.5000000,134363
20181223,000000,53.4900000,53.8300000,53.4800000,53.6400000,455
20181224,000000,53.6500000,54.6600000,50.3600000,50.4900000,47406
20181226,000000,51.3300000,55.5900000,50.2200000,55.1800000,122484
20181227,000000,54.9900000,54.9900000,52.5100000,53.5800000,125981
20181228,000000,53.9600000,54.4100000,52.0000000,52.8000000,163811
20181230,000000,53.0000000,53.5000000,52.9000000,53.3400000,519
20181231,000000,53.3400000,54.8200000,52.6600000,54.1500000,76668
20190102,000000,54.1200000,56.5600000,52.5100000,54.6800000,191998
20190103,000000,54.2900000,56.3000000,53.9300000,55.5500000,144503
20190104,000000,55.6700000,58.2700000,55.3400000,57.4200000,156816
20190106,000000,57.4100000,57.8100000,57.2600000,57.7800000,817
20190107,000000,57.7900000,58.9300000,57.2700000,57.5700000,182081
20190108,000000,57.6400000,58.8700000,57.1300000,58.5900000,163508
20190109,000000,59.1500000,61.6900000,59.0500000,61.3400000,196658
20190110,000000,61.1500000,61.9100000,60.4400000,61.1800000,176577
20190111,000000,61.1900000,62.4900000,60.0800000,60.5900000,182353
20190113,000000,60.6200000,61.0400000,60.6200000,60.7400000,862
20190114,000000,60.7700000,60.8700000,58.9000000,59.3200000,149696
20190115,000000,59.3600000,60.8600000,59.1100000,60.5300000,151043
20190116,000000,60.4200000,61.4500000,60.0300000,61.3000000,174762
20190117,000000,61.0500000,61.5400000,60.0400000,61.1500000,169961
20190118,000000,61.3300000,63.0000000,61.3200000,62.5800000,149827
20190120,000000,62.7400000,62.7700000,62.2500000,62.3100000,572
20190121,000000,62.2900000,63.1500000,62.2500000,62.8100000,84974
20190122,000000,62.5900000,62.7100000,60.5700000,61.6100000,167081
20190123,000000,61.3700000,62.3300000,60.2100000,60.9900000,156371
20190124,000000,61.0200000,61.5100000,60.4100000,61.1900000,137065
20190125,000000,61.1300000,61.9200000,60.7000000,61.4400000,112110
20190127,000000,61.4800000,61.4800000,61.1600000,61.1600000,252
20190128,000000,61.1600000,61.6300000,59.4000000,59.9500000,96382
20190129,000000,59.6900000,61.6900000,59.6100000,61.1600000,150420
20190130,000000,61.0700000,62.5100000,60.9600000,61.6600000,157752
20190131,000000,61.7000000,62.4600000,60.6300000,61.2200000,182289
20190201,000000,61.0600000,62.9700000,60.4600000,62.9000000,158534
20190203,000000,62.8300000,62.9500000,62.6200000,62.7500000,2086
20190204,000000,62.8000000,63.6300000,61.2800000,62.8200000,168991
20190205,000000,62.6400000,63.0200000,61.7200000,62.1100000,129073
20190206,000000,62.0600000,62.8000000,61.0500000,62.5500000,133621
20190207,000000,62.5000000,62.9100000,60.6000000,61.6800000,153834
20190208,000000,61.6600000,62.3600000,61.0400000,61.9700000,123738
20190210,000000,62.1100000,62.1300000,61.9200000,61.9200000,278
20190211,000000,61.9200000,62.3400000,60.9000000,61.5800000,146894
20190212,000000,61.5900000,63.3400000,61.5900000,62.6100000,168738
20190213,000000,62.7000000,63.9800000,62.6900000,63.6000000,140288
20190214,000000,63.6900000,64.8100000,63.3700000,64.5600000,164726
20190215,000000,64.8600000,66.3900000,64.4200000,66.3900000,163416
20190217,000000,66.3900000,66.6100000,66.3500000,66.5300000,673
20190218,000000,66.5300000,66.8300000,65.9000000,66.5000000,97252
20190219,000000,66.4400000,66.6500000,65.5800000,66.4400000,131693
20190220,000000,66.3000000,67.3800000,65.6300000,67.1800000,130849
20190221,000000,67.0500000,67.3100000,66.6900000,66.9400000,108055
20190222,000000,66.9600000,67.7300000,66.8700000,66.9100000,95453
20190224,000000,66.9700000,67.2600000,66.9300000,67.2600000,490
20190225,000000,67.2600000,67.4700000,64.5400000,64.9200000,141134
20190226,000000,64.9200000,65.8800000,64.4900000,65.7900000,109026
20190227,000000,65.9100000,66.8800000,65.4200000,66.4700000,113661
20190228,000000,66.5200000,66.7800000,65.9000000,66.2800000,116009
20190301,000000,66.4800000,67.1400000,64.5900000,65.0000000,169249
20190303,000000,64.9700000,65.4600000,64.9300000,65.2200000,1070
20190304,000000,65.1700000,66.3400000,65.0700000,65.5500000,138086
20190305,000000,65.4600000,66.2300000,65.0400000,65.5700000,116228
20190306,000000,65.4900000,66.1600000,65.2200000,65.9300000,137602
20190307,000000,65.8800000,67.0000000,65.7600000,66.0900000,140005
20190308,000000,66.0800000,66.0900000,64.0300000,65.8100000,208054
20190310,000000,65.7600000,65.9000000,65.6400000,65.8000000,711
20190311,000000,65.7900000,66.7500000,65.6300000,66.6300000,134467
20190312,000000,66.7000000,67.3900000,66.3400000,66.8200000,160342
20190313,000000,66.9100000,67.7600000,66.7000000,67.6400000,137517
20190314,000000,67.6500000,68.1400000,67.0300000,67.1800000,137672
20190315,000000,67.1800000,67.7100000,66.1300000,67.0200000,138985
