<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
J2TX.FUTBRENTCONT,D,20200102,000000,66.4100000,66.5800000,65.7200000,66.3400000,131465
J2TX.FUTBRENTCONT,D,20200103,000000,66.2800000,69.5000000,66.2200000,68.7000000,298195
J2TX.FUTBRENTCONT,D,20200105,000000,69.3500000,69.9500000,69.2000000,69.5900000,4518
J2TX.FUTBRENTCONT,D,20200106,000000,69.5800000,70.7400000,68.2100000,68.5500000,214194
J2TX.FUTBRENTCONT,D,20200107,000000,68.6200000,68.7500000,67.6500000,68.5100000,178779
J2TX.FUTBRENTCONT,D,20200108,000000,71.2200000,71.7500000,64.9400000,65.7700000,335395
J2TX.FUTBRENTCONT,D,20200109,000000,66.0000000,66.1000000,64.5600000,65.3200000,208526
J2TX.FUTBRENTCONT,D,20200110,000000,65.2900000,65.6600000,64.8600000,65.1000000,162308
J2TX.FUTBRENTCONT,D,20200112,000000,65.1300000,65.1300000,64.7200000,64.8400000,923
J2TX.FUTBRENTCONT,D,20200113,000000,64.8400000,65.2700000,63.9200000,64.2300000,138828
J2TX.FUTBRENTCONT,D,20200114,000000,64.2900000,65.0500000,63.9200000,64.4600000,136330
J2TX.FUTBRENTCONT,D,20200115,000000,64.4400000,64.6000000,63.5500000,64.2700000,127365
J2TX.FUTBRENTCONT,D,20200116,000000,64.2600000,64.9700000,63.9000000,64.6700000,123352
J2TX.FUTBRENTCONT,D,20200117,000000,64.6900000,65.6000000,64.4800000,65.3500000,121635
J2TX.FUTBRENTCONT,D,20200119,000000,65.9800000,66.0000000,65.4500000,65.7200000,3509
J2TX.FUTBRENTCONT,D,20200120,000000,65.7300000,65.7900000,64.9200000,65.2200000,74983
J2TX.FUTBRENTCONT,D,20200121,000000,65.2600000,65.3500000,64.0600000,64.4900000,143190
J2TX.FUTBRENTCONT,D,20200122,000000,64.5700000,64.5800000,62.6200000,62.6600000,167880
J2TX.FUTBRENTCONT,D,20200123,000000,62.6800000,62.6900000,61.2500000,62.0700000,186674
J2TX.FUTBRENTCONT,D,20200124,000000,62.0100000,62.4600000,60.2500000,60.6500000,147861
J2TX.FUTBRENTCONT,D,20200126,000000,60.1600000,60.1600000,57.9100000,58.2600000,4725
J2TX.FUTBRENTCONT,D,20200127,000000,58.3000000,59.0100000,57.7400000,58.1500000,133166
J2TX.FUTBRENTCONT,D,20200128,000000,58.2400000,59.3900000,57.9000000,59.3000000,125427
J2TX.FUTBRENTCONT,D,20200129,000000,59.0200000,59.8400000,58.3800000,58.6800000,168619
J2TX.FUTBRENTCONT,D,20200130,000000,58.7100000,58.7500000,56.7400000,58.0900000,228830
J2TX.FUTBRENTCONT,D,20200131,000000,58.2000000,58.5800000,55.9300000,56.6600000,260418
J2TX.FUTBRENTCONT,D,20200202,000000,56.1600000,56.2700000,55.7700000,55.8900000,4640
J2TX.FUTBRENTCONT,D,20200203,000000,55.9000000,56.7700000,54.0800000,54.2000000,265659
